Province,Year,Crimes,Registrants,Population,Visitors,Births,Deaths,Immigrants,Emigrants,Returning Emigrants,Net Temporary Migration,Net Interprovincial Migration,Net non-permanent residents
Alberta,2017,1005325.43,194010,4258195,2215382,52986,26107,38697,6565,5000,2271,-3247,-1318
Alberta,2018,1043221.45,200391,4317665,2385856,52323,25751,40732,6570,4873,2302,-2032,3028
Alberta,2019,1071487.39,203823,4384848,1988895,50767,27123,35471,4684,3852,2089,-2377,289
Alberta,2020,933926.17,203523,4421857,378321,49152,30271,24007,4986,4355,1566,-9458,-4142
British Columbia,2017,838288.24,286914,4956550,8759579,44308,38128,41916,10994,6062,5358,13989,29297
British Columbia,2018,852692.63,295320,5040353,9376652,43433,38554,43135,9452,6061,5437,13325,31809
British Columbia,2019,949793.36,297432,5130780,8760281,43104,39161,44805,6918,5778,4930,16999,1022
British Columbia,2020,871957.23,287523,5151920,1677587,42844,42708,34388,7189,5418,3699,25376,-7547
Manitoba,2017,361011.29,62802,1340565,448291,17317,11121,14160,1468,1079,356,-7148,5572
Manitoba,2018,361049.0,63363,1357968,496719,16804,10938,15915,1194,1194,363,-7351,3062
Manitoba,2019,372754.56,65037,1373845,475366,16715,11301,14782,1025,699,328,-8297,-1311
Manitoba,2020,355753.76,63363,1381572,99374,16045,11919,10197,888,1065,247,-2804,642
New Brunswick,2017,128044.67,27057,767935,1312182,6425,7615,4116,593,379,209,481,696
New Brunswick,2018,130088.2,26790,772597,1294420,6371,7631,5076,301,276,211,1669,1578
New Brunswick,2019,135170.48,27909,780597,1140057,6228,7578,4910,254,253,191,1826,674
New Brunswick,2020,127647.48,27099,783354,161222,6275,7559,2689,228,243,145,4590,1537
Newfoundland and Labrador,2017,93944.73,25305,528288,90242,3987,5128,1275,152,140,143,-2733,65
Newfoundland and Labrador,2018,92021.04,24795,525729,96628,3892,5195,1653,213,92,147,-2597,382
Newfoundland and Labrador,2019,93001.18000000001,25083,523889,98147,3694,5381,1564,120,111,132,-2016,212
Newfoundland and Labrador,2020,87423.61,26181,520203,18683,3682,5425,884,162,80,101,527,-392
Nova Scotia,2017,160146.58,53484,953683,347184,8106,9659,5137,1032,591,257,3048,2364
Nova Scotia,2018,159340.22,54495,963447,326634,7967,9776,6395,528,512,261,3632,3896
Nova Scotia,2019,157605.94,57033,976483,217274,7983,9827,6234,481,481,237,5567,1728
Nova Scotia,2020,150074.57,56841,981266,9792,7681,9897,3540,397,459,176,8900,-684
Ontario,2017,1604764.71,864822,14150783,17219445,140985,106762,132472,21812,19695,13478,9944,77512
Ontario,2018,1670802.09,889755,14392903,16663909,140240,106095,139089,21312,19414,13670,6629,71709
Ontario,2019,1684804.67,907641,14636131,16548128,140385,111848,127112,15966,13811,12398,2794,37431
Ontario,2020,1490054.45,903780,14721852,3241686,136573,116059,107929,16191,17356,9300,-18405,-18668
Prince Edward Island,2017,28492.97,8037,151376,2576,1295,1368,2102,54,54,40,177,828
Prince Edward Island,2018,31192.29,7455,155152,409,1307,1326,2267,98,100,42,662,1153
Prince Edward Island,2019,33686.12,8505,158760,312,1344,1405,2079,42,42,38,1150,756
Prince Edward Island,2020,30581.52,8616,161455,29,1412,1352,1209,73,85,29,1220,981
Quebec,2017,984349.32,534054,8336460,3697635,83996,67726,47906,7064,5418,4594,-5693,47432
Quebec,2018,972690.99,530367,8434705,4048624,83859,67377,44866,6832,5824,4658,-4128,50191
Quebec,2019,993386.11,529743,8542964,3823277,84535,72699,33295,4530,4529,4224,-4436,36642
Quebec,2020,865936.22,539385,8578733,861188,82010,69820,33673,5092,5207,3173,-2944,-14121
Saskatchewan,2017,459657.81,56529,1154755,151126,15366,9510,14995,798,680,498,-8475,-324
Saskatchewan,2018,436956.28,59301,1165929,158652,14724,9548,13911,792,709,505,-9441,1654
Saskatchewan,2019,427797.08,56784,1176282,141481,14460,9760,13369,785,548,459,-11412,27
Saskatchewan,2020,411786.01,53085,1177980,24198,14031,10715,7327,596,633,344,-7174,-136
Territories,2017,326925.77,3534,122633,393120,1979,636,549,48,19,90,-343,166
Territories,2018,330091.12,4071,123937,352951,1948,700,562,45,36,91,-368,39
Territories,2019,358852.76,4803,125459,363316,1844,723,536,30,22,83,202,-126
Territories,2020,355821.32999999996,2307,126856,23457,1908,740,465,36,32,62,172,153
